ID,DEPTH,TIMESTAMP,I/O TYPE,SEMANTIC ROLLING EUC,SEMANTIC TRAINING EUC,CONCEPT ROLLING EUC,CONCEPT TRAINING EUC,LEXICAL ROLLING EUC,LEXICAL TRAINING EUC
1a8f720b-4975-4f06-aa5c-ec572e91fa0d,0,2025-03-29T02:09:32.848Z,input,0,0,0,0,0,0
1a8f720b-4975-4f06-aa5c-ec572e91fa0d,0,2025-03-29T02:09:32.848Z,output,0,0,0,0,0,0
07de9e0f-ff1a-49c3-b9ed-3142314a6f04,0,2025-03-29T02:26:28.532Z,input,0,0,0,0,0,0
07de9e0f-ff1a-49c3-b9ed-3142314a6f04,0,2025-03-29T02:26:28.532Z,output,0,0,0,0,0,0
bb37ee49-ce25-4f38-be41-0a1e2622a8ba,0,2025-03-29T02:26:50.900Z,input,0,0,0,0,0,0
bb37ee49-ce25-4f38-be41-0a1e2622a8ba,0,2025-03-29T02:26:50.900Z,output,0,0,0,0,0,0
547189fb-1c7c-463e-9d6c-f6c6f756645d,0,2025-03-31T16:18:38.990Z,input,NaN,NaN,NaN,NaN,NaN,NaN
547189fb-1c7c-463e-9d6c-f6c6f756645d,0,2025-03-31T16:18:38.990Z,output,NaN,NaN,4.58223579578076e+38,4.58223579578076e+38,NaN,NaN
7aa9b707-77aa-4737-8fd4-0e9b069915c9,0,2025-03-31T16:22:24.899Z,input,NaN,NaN,NaN,NaN,NaN,NaN
7aa9b707-77aa-4737-8fd4-0e9b069915c9,0,2025-03-31T16:22:24.899Z,output,NaN,NaN,4.582246131161588e+38,4.582246131161588e+38,NaN,NaN
e296f7d2-00b0-4ad5-b419-b360cecfd262,0,2025-03-31T16:24:11.027Z,input,NaN,NaN,NaN,NaN,NaN,NaN
e296f7d2-00b0-4ad5-b419-b360cecfd262,0,2025-03-31T16:24:11.027Z,output,NaN,NaN,4.582254169781652e+38,NaN,NaN,NaN
6944ebd7-ab33-43c1-ae43-9e08d78a4e01,0,2025-03-31T16:24:41.849Z,input,NaN,NaN,NaN,NaN,NaN,NaN
6944ebd7-ab33-43c1-ae43-9e08d78a4e01,0,2025-03-31T16:24:41.849Z,output,NaN,NaN,4.5822590503673204e+38,NaN,NaN,NaN
cf184892-9373-4a37-8f36-645044e159f4,0,2025-03-31T16:38:17.384Z,input,0,NaN,0,NaN,0,NaN
cf184892-9373-4a37-8f36-645044e159f4,0,2025-03-31T16:38:17.384Z,output,0,NaN,0,NaN,0,NaN
af190371-61b7-49f5-ba47-45b14210140b,0,2025-03-31T16:40:20.466Z,input,0,NaN,0,NaN,0,NaN
af190371-61b7-49f5-ba47-45b14210140b,0,2025-03-31T16:40:20.466Z,output,0,NaN,0,NaN,0,NaN
0460fe7b-548a-4e08-831c-b8cfc6d7f3bf,0,2025-03-31T16:41:54.387Z,input,0,NaN,0,NaN,0,NaN
0460fe7b-548a-4e08-831c-b8cfc6d7f3bf,0,2025-03-31T16:41:54.387Z,output,0,NaN,0,NaN,0,NaN
11079b2c-1ac3-4e8e-9a7c-ace349862bcb,0,2025-03-31T16:42:53.293Z,input,0,NaN,0,NaN,0,NaN
11079b2c-1ac3-4e8e-9a7c-ace349862bcb,0,2025-03-31T16:42:53.293Z,output,0,NaN,0,NaN,0,NaN
a05d6144-d18e-475d-a08f-4dd421bccf78,0,2025-03-31T16:43:26.067Z,input,0,NaN,0,NaN,0,NaN
a05d6144-d18e-475d-a08f-4dd421bccf78,0,2025-03-31T16:43:26.067Z,output,0,NaN,0,NaN,0,NaN
276eb564-33dc-49db-bea8-ed4055a21238,0,2025-03-31T16:44:14.110Z,input,0,NaN,0,NaN,0,NaN
276eb564-33dc-49db-bea8-ed4055a21238,0,2025-03-31T16:44:14.110Z,output,0,NaN,0,NaN,0,NaN
d3c3c76c-3a68-4724-899d-4c0fcd634955,0,2025-03-31T16:45:10.724Z,input,0,NaN,0,NaN,0,NaN
d3c3c76c-3a68-4724-899d-4c0fcd634955,0,2025-03-31T16:45:10.724Z,output,0,NaN,0,NaN,0,NaN
500154eb-9f05-426e-824c-d377c9462b64,0,2025-03-31T16:45:46.303Z,input,0,NaN,0,NaN,0,NaN
500154eb-9f05-426e-824c-d377c9462b64,0,2025-03-31T16:45:46.303Z,output,0,NaN,0,NaN,0,NaN
f92d903b-0317-4334-b936-e2930d4ddcc3,0,2025-03-31T16:47:42.786Z,input,0,NaN,0,NaN,0,NaN
f92d903b-0317-4334-b936-e2930d4ddcc3,0,2025-03-31T16:47:42.786Z,output,0,NaN,0,NaN,0,NaN
efb77282-a62e-4c0c-9592-c828be124154,0,2025-03-31T16:50:07.259Z,input,1.7047348944058136,NaN,0,NaN,2.230298138396541,NaN
efb77282-a62e-4c0c-9592-c828be124154,0,2025-03-31T16:50:07.259Z,output,1.1325052577679189,NaN,0,NaN,1.059913106421305,NaN
e1a32126-3ab3-4f7b-a9ad-2d2380fa475d,0,2025-03-31T16:50:42.643Z,input,1.1364899329741047,NaN,0,NaN,1.486865410002104,NaN
e1a32126-3ab3-4f7b-a9ad-2d2380fa475d,0,2025-03-31T16:50:42.643Z,output,0.755003497843914,NaN,0,NaN,0.7066087397497416,NaN
b5a5a86d-07fc-4092-9db0-80c45712e3ed,0,2025-03-31T16:51:06.687Z,input,1.704734863422717,NaN,8.656786924122809,NaN,2.23029814328136,NaN
b5a5a86d-07fc-4092-9db0-80c45712e3ed,0,2025-03-31T16:51:06.687Z,output,1.1325052394546617,NaN,8.855485405685114,NaN,1.0599131098282824,NaN
98b130f4-eccb-4ad0-99e8-009ba91846d6,0,2025-03-31T16:51:36.098Z,input,1.3637879104302917,NaN,6.925429519094019,NaN,1.7842385164278844,NaN
98b130f4-eccb-4ad0-99e8-009ba91846d6,0,2025-03-31T16:51:36.098Z,output,0.9060042077666429,NaN,7.08438832222882,NaN,0.8479304904572577,NaN
